Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
466;25862;"Designs, Codes, and Cryptography";journal;"09251022, 15737586";"Springer Netherlands";No;No;0,949;Q1;72;253;461;7210;844;458;1,59;28,50;31,20;0;0;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Applied Mathematics (Q1); Computer Science Applications (Q1); Discrete Mathematics and Combinatorics (Q1); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
467;15463;"IEEE Micro";journal;"02721732";"IEEE Computer Society";No;No;0,945;Q1;106;88;285;716;929;242;3,26;8,14;19,89;0;12;United States;Northern America;"IEEE Computer Society";"1981-2025";"Electrical and Electronic Engineering (Q1); Hardware and Architecture (Q1); Software (Q1)";"Computer Science; Engineering"
468;21100385802;"Interactive Technology and Smart Education";journal;"17415659, 17588510";"Emerald Publishing";No;No;0,944;Q1;39;46;78;3541;484;73;5,40;76,98;42,11;0;11;United Kingdom;Western Europe;"Emerald Publishing";"2004-2025";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
469;17316;"IEEE Signal Processing Letters";journal;"10709908, 15582361";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,938;Q1;167;676;1362;20203;6705;1362;4,63;29,89;27,64;0;18;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1994-2025";"Applied Mathematics (Q1); Electrical and Electronic Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering; Mathematics"
470;21100855505;"Journal of Cybersecurity";journal;"20572093";"Oxford University Press";Yes;No;0,938;Q1;31;28;72;1877;397;72;4,45;67,04;25,53;1;6;United Kingdom;Western Europe;"Oxford University Press";"2015-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Law (Q1); Political Science and International Relations (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1); Software (Q1); Social Psychology (Q2)";"Computer Science; Engineering; Psychology; Social Sciences"
471;21101060161;"IEEE Transactions on Medical Robotics and Bionics";journal;"25763202";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,933;Q1;30;191;298;8580;1463;292;4,46;44,92;23,93;0;28;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2019-2025";"Computer Science Applications (Q1); Control and Optimization (Q1); Artificial Intelligence (Q2); Biomedical Engineering (Q2); Human-Computer Interaction (Q2)";"Computer Science; Engineering; Mathematics"
472;21100332403;"Journal of Information Security and Applications";journal;"22142126, 22142134";"Elsevier Ltd";No;No;0,932;Q1;73;191;638;8711;3707;634;5,17;45,61;27,01;0;7;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2025";"Computer Networks and Communications (Q1); Safety, Risk, Reliability and Quality (Q1); Software (Q1)";"Computer Science; Engineering"
473;21101180452;"Mathematical Modelling and Numerical Simulation with Applications";journal;"27918564";"Mehmet Yavuz";No;No;0,932;Q1;19;36;50;1714;279;50;4,95;47,61;32,94;0;13;Turkey;Middle East;"Mehmet Yavuz";"2021-2024";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Mathematical Physics (Q1); Modeling and Simulation (Q1)";"Computer Science; Mathematics"
474;23674;"Applied Intelligence";journal;"0924669X, 15737497";"Springer Netherlands";No;No;0,932;Q2;108;693;3294;36208;16543;3287;4,56;52,25;31,26;0;91;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Artificial Intelligence (Q2)";"Computer Science"
475;21100901582;"Online Social Networks and Media";journal;"24686964";"Elsevier B.V.";No;No;0,931;Q1;30;11;89;640;537;87;4,48;58,18;29,41;0;1;Netherlands;Western Europe;"Elsevier B.V.";"2017-2025";"Communication (Q1); Computer Networks and Communications (Q1); Information Systems (Q1)";"Computer Science; Social Sciences"
476;23987;"Neuroinformatics";journal;"15392791, 15590089";"Humana Press";No;No;0,927;Q1;70;52;157;2724;531;147;3,34;52,38;34,65;0;9;United States;Northern America;"Humana Press";"2003-2025";"Information Systems (Q1); Software (Q1); Neuroscience (miscellaneous) (Q2)";"Computer Science; Neuroscience"
477;21100242201;"Romanian Journal of Information Science and Technology";journal;"14538245";"Publishing House of the Romanian Academy";Yes;No;0,927;Q1;26;28;81;726;276;79;4,49;25,93;20,93;0;1;Romania;Eastern Europe;"Publishing House of the Romanian Academy";"2008-2024";"Computer Science (miscellaneous) (Q1)";"Computer Science"
478;21101062817;"Frontiers in Artificial Intelligence";journal;"26248212";"Frontiers Media SA";Yes;No;0,927;Q2;47;327;755;17734;4538;710;5,41;54,23;29,06;0;112;Switzerland;Western Europe;"Frontiers Media SA";"2018-2025";"Artificial Intelligence (Q2)";"Computer Science"
479;21101020112;"Big Data and Cognitive Computing";journal;"25042289";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,922;Q1;44;199;423;11010;3154;419;7,55;55,33;26,91;0;55;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2025";"Computer Science Applications (Q1); Information Systems (Q1); Management Information Systems (Q1); Artificial Intelligence (Q2)";"Business, Management and Accounting; Computer Science"
480;4900153220;"International Journal on Semantic Web and Information Systems";journal;"15526283, 15526291";"IGI Global";No;No;0,920;Q1;43;65;130;3349;833;130;7,11;51,52;34,15;0;11;United States;Northern America;"IGI Global";"2005-2025";"Computer Networks and Communications (Q1); Information Systems (Q1)";"Computer Science"
481;21100908414;"Proceedings of the ACM on Human-Computer Interaction";journal;"25730142";"Association for Computing Machinery";No;No;0,919;Q1;77;575;1596;52050;8907;1579;4,55;90,52;44,77;1;122;United States;Northern America;"Association for Computing Machinery";"2017-2025";"Computer Networks and Communications (Q1); Social Sciences (miscellaneous) (Q1); Human-Computer Interaction (Q2)";"Computer Science; Social Sciences"
482;21101020024;"Big Earth Data";journal;"20964471, 25745417";"Taylor and Francis Ltd.";Yes;No;0,918;Q1;29;34;105;2521;470;71;4,39;74,15;37,21;0;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2017-2025";"Computer Science Applications (Q1); Computers in Earth Sciences (Q1)";"Computer Science; Earth and Planetary Sciences"
483;15072;"Journal of Information Technology in Construction";journal;"18744753";"International Council for Research and Innovation in Building and Construction";Yes;Yes;0,915;Q1;63;58;149;4009;932;148;5,00;69,12;30,41;0;24;Sweden;Western Europe;"International Council for Research and Innovation in Building and Construction";"1995-2025";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1)";"Computer Science; Engineering"
484;21100356018;"Big Data Research";journal;"22145796, 2214580X";"Elsevier Inc.";No;No;0,914;Q1;44;49;161;1897;908;158;5,13;38,71;27,18;0;13;United States;Northern America;"Elsevier Inc.";"2014-2025";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
485;13044;"ACM Transactions on Database Systems";journal;"15574644, 03625915";"Association for Computing Machinery (ACM)";No;No;0,913;Q1;92;16;43;1215;131;43;2,37;75,94;9,68;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1976-2024";"Information Systems (Q1)";"Computer Science"
486;21100970266;"IEEE Transactions on Sustainable Computing";journal;"23773782";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,913;Q1;37;108;181;4534;828;175;4,73;41,98;25,30;0;50;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2025";"Computational Theory and Mathematics (Q1); Control and Optimization (Q1); Hardware and Architecture (Q1); Software (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Computer Science; Energy; Mathematics"
487;21100383744;"Journal of Cloud Computing";journal;"2192113X";"Springer Science + Business Media";Yes;No;0,912;Q1;51;157;327;7362;2183;326;6,60;46,89;28,99;1;34;United States;Northern America;"Springer Science + Business Media";"2012-2025";"Computer Networks and Communications (Q1); Software (Q1)";"Computer Science"
488;18198;"International Journal of Computer Integrated Manufacturing";journal;"0951192X, 13623052";"Taylor and Francis Ltd.";No;No;0,911;Q1;74;142;248;7044;1453;243;5,22;49,61;27,71;0;101;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2025";"Aerospace Engineering (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
489;19700201422;"Computer Science Education";journal;"17445175, 08993408";"Taylor and Francis Ltd.";No;No;0,909;Q1;48;65;70;4475;295;60;3,96;68,85;56,16;1;19;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-1995, 1999, 2002, 2004-2025";"Computer Science (miscellaneous) (Q1); Education (Q1)";"Computer Science; Social Sciences"
490;21101111783;"Smart Agricultural Technology";journal;"27723755";"Elsevier B.V.";Yes;No;0,908;Q1;33;311;373;17213;3122;371;8,48;55,35;26,07;2;179;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Artificial Intelligence (Q2)";"Agricultural and Biological Sciences; Computer Science"
491;21101107176;"Artificial Intelligence in Geosciences";journal;"26665441";"KeAi Communications Co.";Yes;No;0,907;Q2;13;26;61;1274;268;61;4,05;49,00;21,21;0;7;China;Asiatic Region;"KeAi Communications Co.";"2020-2025";"Earth and Planetary Sciences (miscellaneous) (Q1); Artificial Intelligence (Q2); Computers in Earth Sciences (Q2); Control and Systems Engineering (Q2)";"Computer Science; Earth and Planetary Sciences; Engineering"
492;144980;"Multiscale Modeling and Simulation";journal;"15403459, 15403467";"Society for Industrial and Applied Mathematics Publications";No;No;0,906;Q1;77;53;179;2808;321;179;1,55;52,98;21,38;0;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2003-2025";"Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Ecological Modeling (Q1); Modeling and Simulation (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Chemistry; Computer Science; Environmental Science; Mathematics; Physics and Astronomy"
493;28352;"Ocean Modelling";journal;"14635003, 14635011";"Elsevier B.V.";No;No;0,906;Q1;106;121;258;6784;788;258;3,04;56,07;24,75;1;30;Netherlands;Western Europe;"Elsevier B.V.";"1988, 1994, 1999-2025";"Computer Science (miscellaneous) (Q1); Geotechnical Engineering and Engineering Geology (Q1); Oceanography (Q1); Atmospheric Science (Q2)";"Computer Science; Earth and Planetary Sciences"
494;21101165606;"Telematics and Informatics Reports";journal;"27725030";"Elsevier B.V.";Yes;No;0,902;Q1;15;68;101;4910;630;99;6,47;72,21;37,25;0;22;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Computer Networks and Communications (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q2)";"Computer Science; Engineering"
495;12100154405;"IEEE Transactions on Haptics";journal;"23294051, 19391412";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,900;Q2;71;115;264;4960;969;259;3,24;43,13;27,73;0;4;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2008-2025";"Computer Science Applications (Q2); Human-Computer Interaction (Q2)";"Computer Science"
496;21101182803;"ACM Transactions on Evolutionary Learning and Optimization";journal;"26883007, 2688299X";"Association for Computing Machinery";No;No;0,899;Q1;12;27;47;1488;212;44;4,66;55,11;24,73;0;1;United States;Northern America;"Association for Computing Machinery";"2021-2024";"Computational Theory and Mathematics (Q1); Computer Science (miscellaneous) (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2)";"Computer Science"
497;28497;"Inverse Problems";journal;"02665611";"IOP Publishing Ltd.";No;No;0,898;Q1;133;196;449;8505;986;447;2,13;43,39;26,56;0;3;United Kingdom;Western Europe;"IOP Publishing Ltd.";"1985-2025";"Applied Mathematics (Q1); Mathematical Physics (Q1); Signal Processing (Q1); Computer Science Applications (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
498;19600156814;"Cryptography and Communications";journal;"19362447, 19362455";"Springer Publishing Company";No;No;0,897;Q1;26;96;203;2760;311;198;1,49;28,75;32,21;0;0;United States;Northern America;"Springer Publishing Company";"2009-2025";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1)";"Computer Science; Mathematics"
499;26389;"Electronic Journal of Combinatorics";journal;"10778926, 10971440";"Australian National University";Yes;Yes;0,897;Q1;57;245;657;5288;583;656;0,85;21,58;25,24;0;0;United States;Northern America;"Australian National University";"1996-2025";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Geometry and Topology (Q1); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
500;21100791701;"Journal of Pathology Informatics";journal;"22295089, 21533539";"Elsevier B.V.";Yes;No;0,897;Q2;31;61;196;3408;875;190;4,57;55,87;37,01;0;38;India;Asiatic Region;"Elsevier B.V.";"2012, 2016-2025";"Pathology and Forensic Medicine (Q1); Computer Science Applications (Q2); Health Informatics (Q2)";"Computer Science; Medicine"
501;18650;"Empirical Software Engineering";journal;"13823256, 15737616";"Springer Netherlands";No;No;0,895;Q1;100;160;477;11794;2199;470;4,33;73,71;24,71;0;5;Netherlands;Western Europe;"Springer Netherlands";"1996-2025";"Software (Q1)";"Computer Science"
502;21101092533;"High-Confidence Computing";journal;"26672952";"Shandong University";Yes;No;0,894;Q1;14;53;80;2895;467;79;5,38;54,62;36,71;1;6;China;Asiatic Region;"Shandong University";"2021-2025";"Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1); Computer Science Applications (Q2)";"Computer Science"
503;21101170600;"Psychoradiology";journal;"26344416";"Oxford University Press";Yes;Yes;0,891;Q2;8;28;64;1807;190;60;2,18;64,54;37,39;0;1;United Kingdom;Western Europe;"Oxford University Press";"2021-2024";"Radiology, Nuclear Medicine and Imaging (Q1); Artificial Intelligence (Q2); Clinical Psychology (Q2); Neurology (clinical) (Q2); Neuroscience (miscellaneous) (Q2); Psychiatry and Mental Health (Q2); Psychology (miscellaneous) (Q2)";"Computer Science; Medicine; Neuroscience; Psychology"
504;21100901140;"Journal of Innovation and Entrepreneurship";journal;"21925372";"SpringerOpen";Yes;No;0,889;Q1;42;87;203;6904;1485;202;6,49;79,36;39,91;3;49;Germany;Western Europe;"SpringerOpen";"2014-2015, 2017-2025";"Information Systems (Q1); Management Information Systems (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Social Sciences"
505;31473;"Conference on Human Factors in Computing Systems - Proceedings";conference and proceedings;"-";"Association for Computing Machinery";No;No;0,889;-;247;1060;3864;93589;24705;3843;6,10;88,29;42,10;5;167;United States;Northern America;"Association for Computing Machinery";"1982-1983, 1986, 1988-2024";"Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software";"Computer Science"
506;10900153330;"Enterprise Information Systems";journal;"17517583, 17517575";"Taylor and Francis Ltd.";No;No;0,888;Q2;65;60;215;4241;1295;206;6,32;70,68;28,42;0;20;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007-2025";"Information Systems and Management (Q1); Computer Science Applications (Q2)";"Computer Science; Decision Sciences"
507;11600153433;"Games and Culture";journal;"15554139, 15554120";"SAGE Publications Inc.";No;No;0,888;Q2;66;121;185;6697;686;184;3,07;55,35;33,81;1;22;United States;Northern America;"SAGE Publications Inc.";"2006-2025";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Applied Psychology (Q2); Human-Computer Interaction (Q2)";"Arts and Humanities; Computer Science; Psychology; Social Sciences"
